file	sha256	bytes	width	height
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.hdr.scale375x500.png	0aafbacebd0cc8a9cd130862fde62dc4e062ece37a35b3e65d2c65e0c83d64e2	903454	375	500
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.hdr.scale375x500.png	9949ce5eeee34a29ebbd2355933da729505943d03545e0d1e3f2601a8672e1cf	897931	375	500
1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.hdr.scale375x500.png	b1a99e50cbae6fa7a403e6b2133c3308b21b0795446a8535324dc7bfd6d73223	945423	375	500
1067_general_architectural-model-display_la-pedrera-barcelona_zfold7_iso500-f1p7_20260319-185645_3000x4000.hdr.scale375x500.png	1a6e7bb246a36cc9cf8e5298baa346afc4d5495f6575ba1e4aad6dfe64340961	909743	375	500
1069_general_illuminated-castle-night_cinderella-castle-orange_ip13pro_iso500-f1p5_img-7653_2870x3827.hdr.scale358x478.png	923fce90f2ec6c6d159034ff6cec72fbba8b533071618a10520994812881cbe2	796830	358	478
1070_general_stone-temple-ruins_ip13pro_iso50-f1p5_img-8852_4032x3024.hdr.scale504x378.png	c0d9f80279d8747cc2c46a2444ef6da53fc88097c83960dc7befe0bf48fe1c20	988639	504	378
1227_interiors_stained-glass-window_casa-batllo-barcelona_zfold7_iso1600-f1p7_20260315-205230_3000x4000.hdr.scale375x500.png	f886d2c0a78a9d4dd1d3175bb54f9d373d5976badd156cff73f8a8a457e8e7fb	926197	375	500
1228_interiors_stained-glass-windows_casa-batllo-barcelona_zfold7_iso2500-f1p7_20260315-205328_4000x3000.hdr.scale500x375.png	212f5cb7e5f7521ba8780ca55c0fc837b7d4c9df9082fa1a616a4bca6c507fe6	934703	500	375
1229_interiors_lighted-archway-ceiling_casa-batllo-barcelona_zfold7_iso1250-f1p7_20260315-210321_3000x4000.hdr.scale375x500.png	2f0e8af70824b2f09f94a8cafc0cdb18ad79a962906f8466769f042c1893591e	1008865	375	500
1230_interiors_empty-tiled-pool_casa-batllo-barcelona_zfold7_iso640-f1p7_20260315-210432_3000x4000.hdr.scale375x500.png	d0f8de546bf0852e8ab3f9e5d61e930932362fdf6d7520e14d87edbb41c8c528	907010	375	500
1231_interiors_tiled-arched-interior_casa-batllo-barcelona_zfold7_iso640-f2p2_20260315-211323_4000x2252.hdr.scale500x281.png	d994d1abf16684b7dd707fdb8c76eba2bdbdd7cb820bf219bc89f94aad8be4a2	732146	500	281
1232_interiors_stained-glass-windows_sagrada-familia-barcelona_zfold7_iso400-f1p7_20260317-144409_3000x4000.hdr.scale375x500.png	68e6560389bfd306b77d2d6dc490b01df4eb6c6f0edf86c5ff9c65abbfed47e0	924528	375	500
1233_interiors_cathedral-ceiling-interior_sagrada-familia-barcelona_zfold7_iso250-f2p2_20260317-151912_4000x3000.hdr.scale500x375.png	0e6776795ad226a53219631cae73492c98875856aa7042d8d2feccd0b8cd21c6	942864	500	375
1234_interiors_cathedral-ceiling-columns_sagrada-familia-barcelona_zfold7_iso400-f1p7_20260317-154023_3000x4000.hdr.scale375x500.png	c3ead8d6d20143c1a3a36e1abac3ef1f0695462f641212c32da54d0168071ebb	923082	375	500
1235_interiors_floral-wall-mural_casa-vicens-barcelona_zfold7_iso1600-f1p7_20260319-165522_3000x4000.hdr.scale375x500.png	c0ea9f3935f82d7ef611ed933a255e2d1fcc5ce17a281d4048bb448684f7274a	974987	375	500
1236_interiors_ornate-arched-interior_casa-vicens-barcelona_zfold7_iso400-f2p2_20260319-165702_3000x4000.hdr.scale375x500.png	58d171e2fbcee014939b936e7be9df4f7caee99b2d5cc629ff823f165b8bad85	969650	375	500
1237_interiors_person-standing-by-window_casa-vicens-barcelona_zfold7_iso800-f2p2_20260319-170017_3000x4000.hdr.scale375x500.png	156e19a9eba4281b9fe1909cbec13457979440f01e00683756e62145d27a4926	968060	375	500
1238_interiors_open-doorway-interior_casa-vicens-barcelona_zfold7_iso250-f2p2_20260319-170237_3000x4000.hdr.scale375x500.png	0b759169862862f15a571376cde9079af83438c064cf7b2a4ad7b9466ed91bec	907952	375	500
1239_interiors_decorative-coffered-ceiling_casa-vicens-barcelona_zfold7_iso800-f2p2_20260319-170252_4000x3000.hdr.scale500x375.png	93539a237d3e35077b25ccbddc9260ac3a94d89a63c4c41275094e842a96683e	976069	500	375
1240_interiors_bathroom-with-bathtub_casa-vicens-barcelona_zfold7_iso1000-f2p2_20260319-170336_3000x4000.hdr.scale375x500.png	48b1c0cd5a72683b9bb47a95a9275a1f5f91b550d8a17218469479400ade035f	907864	375	500
